"ID","Напомена1","Креирано","Година","Количина","Наслов","Аутори","Рбр","ISBN","Задужење","Издавач","Полица","напомена1","Напомена2","Креирање"
"[858407,1464546787]","  ","2024-10-14A12:44:27.000693+0000","  ","  ","56. Билтен Министарства финансија РЦГ – 6/2006 ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546790]","  ","2024-10-14A12:44:27.000924+0000","  ","  ","57. Билтен Министарства финансија РЦГ – 10/2007 ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546794]","  ","2024-10-14A12:44:28.000172+0000","  ","  ","58. Билтен Министарства финансија РЦГ – 11/2008 ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546797]","  ","2024-10-14A12:44:28.000432+0000","  ","  ","59. Билтен Министарства финансија РЦГ – 12/2008 ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546802]","  ","2024-10-14A12:44:28.000805+0000","  ","  ","60. Билтен Министарства финансија РЦГ – 13/2008 ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546805]","  ","2024-10-14A12:44:29.000093+0000","  ","  ","61. Билтен Министарства финансија РЦГ – 14/2008 ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546810]","  ","2024-10-14A12:44:29.000421+0000","  ","  ","62. Билтен Министарства финансија РЦГ – 15/2009 ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546814]","  ","2024-10-14A12:44:29.000714+0000","  ","  ","63. Билтен судске праксе Врховног суда Савезне Републике Црне Горе – 1-6/1988 ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546817]","  ","2024-10-14A12:44:29.000991+0000","  ","  ","64. Билтен судске праксе Врховног суда Савезне Републике Црне Горе – 7-12/1988 ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546821]","  ","2024-10-14A12:44:30.000320+0000","  ","  ","65. Билтен судске праксе Савезног суда – 20/1984 ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546825]","  ","2024-10-14A12:44:30.000598+0000","  ","  ","66. Билтен судске праксе Савезног суда – 25/1986 ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546830]","  ","2024-10-14A12:44:30.000916+0000","  ","  ","67. Билтен судске праксе Савезног суда – 27/1987 ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546834]","  ","2024-10-14A12:44:31.000184+0000","  ","  ","68. Билтен судске праксе Савезног суда – 28/1988 ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546838]","  ","2024-10-14A12:44:31.000499+0000","  ","  ","69. Билтен судске праксе Савезног суда – 29/1988 ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546841]","  ","2024-10-14A12:44:31.000795+0000","  ","  ","70. Библиографија Копаоничке школе природног права – 2008 ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546845]","  ","2024-10-14A12:44:32.000088+0000","  ","  ","71. Библиографија Копаоничке школе природног права – 2009 – 2 ком. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546849]","  ","2024-10-14A12:44:32.000356+0000","  ","  ","72. Библиографија Копаоничке школе природног права – 2011 ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546853]","  ","2024-10-14A12:44:32.000688+0000","  ","  ","73. Библиографија Копаоничке школе природног права – 2013 ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546857]","  ","2024-10-14A12:44:33.000089+0000","  ","  ","74. Безбједност саобраћаја – Проф.др. Слободан Пантазијевић – 1994 ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546860]","  ","2024-10-14A12:44:33.000318+0000","  ","  ","  ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546864]","  ","2024-10-14A12:44:33.000645+0000","  ","  ","В ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546869]","  ","2024-10-14A12:44:34.000028+0000","  ","  ","1. Водич кроз кривични поступак и развој комуникацијских вјештина – Веселин Вучковић, Мартина Михордин, Драгана Унковић Маљевић – 4 ком.","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546872]","  ","2024-10-14A12:44:34.000299+0000","  ","  ","2. Водич кроз судове Црне Горе - Удружење судија Црне Горе ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546875]","  ","2024-10-14A12:44:34.000532+0000","  ","  ","3. Водич кроз кривични и грађански поступак – Удружење судија Црне Горе ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546878]","  ","2024-10-14A12:44:34.000772+0000","  ","  ","4. Водич кроз УН-ову Конвенцију из 1949. о сузбијању трговања особама и искоришћавања проституције других – Малка Марцовицх ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546882]","  ","2024-10-14A12:44:35.000065+0000","  ","  ","5. Вријеме метежа 1998-89 – Владимир Кековић ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546886]","  ","2024-10-14A12:44:35.000387+0000","  ","  ","6. Високотехнолошки криминал – практични водич кроз савремено кривично право и примјере из праксе – ОСЦЕ – 2014. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546891]","  ","2024-10-14A12:44:35.000658+0000","  ","  ","Г","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546895]","  ","2024-10-14A12:44:36.000004+0000","  ","  ","1. Годишњи извјешта Министарства финансија ЦГ за 2007.год. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546898]","  ","2024-10-14A12:44:36.000320+0000","  ","  ","2. Грађанска контрола рада полиције у Црној Гори – 2008 ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546905]","  ","2024-10-14A12:44:36.000701+0000","  ","  ","3. Грађанскоправна конвенција о корупцији - 4 ком. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546909]","  ","2024-10-14A12:44:37.000038+0000","  ","  ","4. Грке Године – Владимир Кековић ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546912]","  ","2024-10-14A12:44:37.000279+0000","  ","  ","  ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546916]","  ","2024-10-14A12:44:37.000502+0000","  ","  ","Д ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546920]","  ","2024-10-14A12:44:37.000807+0000","  ","  ","1. Документи консултативног вијећа европских судија – Центар за едукацију носилаца правосудне функције у Црној Гори – 2009 – 5 ком. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546923]","  ","2024-10-14A12:44:38.000082+0000","  ","  ","2. Декларација копаоничке школе привредног права - 2002 ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546927]","  ","2024-10-14A12:44:38.000430+0000","  ","  ","Ђ ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546930]","  ","2024-10-14A12:44:38.000694+0000","  ","  ","  ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546934]","  ","2024-10-14A12:44:38.000949+0000","  ","  ","Е ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546937]","  ","2024-10-14A12:44:39.000188+0000","  ","  ","1. Економски фискални програм за Црну Гору – Министарство финансија - 2008-2011 ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546940]","  ","2024-10-14A12:44:39.000518+0000","  ","  ","2. Европска Конвенција о људским правима – 2003. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546944]","  ","2024-10-14A12:44:39.000859+0000","  ","  ","3. Европска Конвенција о људским правима – 2003. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546948]","  ","2024-10-14A12:44:40.000167+0000","  ","  ","  ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546951]","  ","2024-10-14A12:44:40.000470+0000","  ","  ","Ж ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546954]","  ","2024-10-14A12:44:40.000734+0000","  ","  ","  ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546959]","  ","2024-10-14A12:44:40.000991+0000","  ","  ","З ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546962]","  ","2024-10-14A12:44:41.000267+0000","  ","  ","  ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546968]","  ","2024-10-14A12:44:41.000645+0000","  ","  ","1. Збирка одлука Управног суда РЦГ -2005.год. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546971]","  ","2024-10-14A12:44:41.000973+0000","  ","  ","2. Збирка одлука Управног суда РЦГ –И дио-2006.год. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546974]","  ","2024-10-14A12:44:42.000227+0000","  ","  ","3. Збирка одлука Управног суда РЦГ –ИИ дио-2006.год. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546979]","  ","2024-10-14A12:44:42.000506+0000","  ","  ","4. Збирка одлука Управног суда РЦГ –И дио-2008.год. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546983]","  ","2024-10-14A12:44:42.000884+0000","  ","  ","5. Збирка одлука Управног суда РЦГ –ИИ дио-2008.год. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464547180]","  ","2024-10-14A12:44:43.000211+0000","  ","  ","6. Збирка одлука Врховних судова донијетих у управним споровима 1953,1954 и 1955.год.-1956год.","  "," ","","  ","  ","  ",""," ",""
"[858407,1464547376]","  ","2024-10-14A12:44:43.000469+0000","  ","  ","7. Зборник радова ( Европски простор правде) -3 ком. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464547573]","  ","2024-10-14A12:44:43.000754+0000","  ","  ","8. Зборник Правног факултета у Подгорици ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464547577]","  ","2024-10-14A12:44:44.000004+0000","  ","  ","9. Зборник судске праксе-1980.год. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464547580]","  ","2024-10-14A12:44:44.000313+0000","  ","  ","10.Збирка прописа из области социјалне и дјечије заштите 2000.год.-2 ком. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464547583]","  ","2024-10-14A12:44:44.000560+0000","  ","  ","11.Збирка прописа који се примјењују за вријеме ратног стања-1999.год. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464547586]","  ","2024-10-14A12:44:44.000824+0000","  ","  ","12.Збирка закона о прекршајима- 1986.год. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464547590]","  ","2024-10-14A12:44:45.000144+0000","  ","  ","13.Збирка судских одлука -1963.год. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464547596]","  ","2024-10-14A12:44:45.000516+0000","  ","  ","14.Збирка судских одлука из кривичноправне материје -2004.год. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464547600]","  ","2024-10-14A12:44:45.000829+0000","  ","  ","15.Завршни документ Копаоничке школе природног права 2003.год. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464547603]","  ","2024-10-14A12:44:46.000120+0000","  ","  ","16.Завршни документ Копаоничке школе природног права 2004.год. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464547608]","  ","2024-10-14A12:44:46.000484+0000","  ","  ","17.Завршни документ Копаоничке школе природног права 2014.год.-3 ком. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464547612]","  ","2024-10-14A12:44:46.000838+0000","  ","  ","18.Заштита свједока код тешких кривичних дјела (процесне мјере заштите свједока) ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464547617]","  ","2024-10-14A12:44:47.000221+0000","  ","  ","19.Заштита података у Еуројусту- 2014.год.-7 ком. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464547622]","  ","2024-10-14A12:44:47.000516+0000","  ","  ","20.Закон о државном тужилаштву и правилник о унутрашњем пословању -2010.год.- 2 ком. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464547626]","  ","2024-10-14A12:44:47.000908+0000","  ","  ","21.Закон о парничном поступку са судском праксом –мр.Радмила Петаковић-1995.год. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464547631]","  ","2024-10-14A12:44:48.000210+0000","  ","  ","22.Законик о кривичном поступку РЦГ- 2004.год.-2 ком. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464547634]","  ","2024-10-14A12:44:48.000587+0000","  ","  ","23.Закон о јавним набавкама са коментаром –др. Милорад Ивовић,  др. Рајко Миловић,  др. Драган Прља -2001.год.""","  "," ","","  ","  ","  ",""," ",""
"[858407,1464547638]","  ","2024-10-14A12:44:48.000869+0000","  ","  ","24.Закон о кривичном поступку са судском праксом –др. Широ Вуковић -1988.год. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464547641]","  ","2024-10-14A12:44:49.000190+0000","  ","  ","25.Закон о застрарјелости потраживања са судском праксом –Милош Исаковић и Петар Шурлан -1977.год. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464547645]","  ","2024-10-14A12:44:49.000494+0000","  ","  ","26.Закон о општем управном поступку и о управним споровима-1988.год. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464547650]","  ","2024-10-14A12:44:49.000761+0000","  ","  ","27.Законик о кривичном поступку -2002.год. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464547661]","  ","2024-10-14A12:44:50.000758+0000","  ","  ","28.Закон о предузећима -1998.год. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464547664]","  ","2024-10-14A12:44:51.000110+0000","  ","  ","29.Закон о јавним набавкама -2008.год. ","  "," ","","  ","  ","  ",""," ",""
