Рбр,Наслов,Аутори,Издавач,Година,Количина,Полица,Задужење,Напомена,ISBN,Напомена2
,А,,,,,,,,,
1,1. Актуелна питања савременог законодавства (Будвански правнички дани) – Савез Удружења правника Србије и Републике Српске - 2006.,,,,,,,,,
,2. Актуелна питања савременог законодавства (Будвански правнички дани) – Савез Удружења правника Србије и Републике Српске - 2007.,,,,,,,,,
,3. Актуелна питања савременог законодавства (Будвански правнички дани) – Савез Удружења правника Србије и Републике Српске - 2008.,,,,,,,,,
,4. Актуелна питања југословенског процесног законодавства – 1996.година,,,,,,,,,
,5. Актуелна судска пракса из облигационих односа – Томислав Крсмановић – 2000.,,,,,,,,,
,6. Адресар институција и организација које се баве проблемом трговине људима у Црној Гори – 2007.,,,,,,,,,
,"7. Адресар адвоката, судских вјештака и тумача – ИНГ-ПРО - 2010. – 2 ком.",,,,,,,,,
,"8. Адресар адвоката, судских вјештака и тумача – ИНГ-ПРО - 2011. – 2 ком.",,,,,,,,,
,,,,,,,,,,
,Б,,,,,,,,,
,1. Билтен Врховног суда 2008.,,,,,,,,,
,2. Билтен Врховног суда 2009. – 2 ком.,,,,,,,,,
,3. Билтен Врховног суда 2010.,,,,,,,,,
,4. Билтен Врховног суда 2013.,,,,,,,,,
,5. Билтен Врховног суда 2014. – књига 1,,,,,,,,,
,6. Билтен Врховног суда 2014. – књига 2,,,,,,,,,
,7. Билтен Врховног суда 2015. – 2 ком.,,,,,,,,,
,8. Билтен Врховног суда 2016.,,,,,,,,,
,9. Билтен Врховног суда 2017. – 7 ком.,,,,,,,,,
,7. Извјештај о раду тужилачког савјета и државног тужилаштва за 2017.год.-4 ком.,,,,,,,,,
,8. Извори за римско облигационо право –др. Невенка Богојевић Глушчевић-1977.год.-2 ком.,,,,,,,,,
,"9. Именик адвоката, судских вјештака и тумача Србије и Црне Горе-2011.год.",,,,,,,,,
,10.Изводи из најзначајнијих одлука Европског суда за људска права –Жил Дитертр,,,,,,,,,
,11.Историјски развитак права својине од римског доба па до данас –Гавро Вуковић,,,,,,,,,
,12. Извод из дисциплинске праксе ВСТВ-а БиХ – 2009.,,,,,,,,,
,,,,,,,,,,
,Ј,,,,,,,,,
,1. Југословенска ревија за криминологију и кривично право – 1979,,,,,,,,,
,2. Југословенска ревија за криминологију и кривично право – 1983,,,,,,,,,
,,,,,,,,,,
,К,,,,,,,,,
,1. Кривични законик СФРЈ са напоменама,,,,,,,,,
,2. Коментар Кривичног закона СФРЈ 1978.год.,,,,,,,,,
,"3. Коментар Кривичног законика Црне Горе –др Љубиша лазаревић,др Бранко Вукчевић и др Весна Вукчевић 2004.год.",,,,,,,,,
,"4. Коментар Кривичног законика Црне Горе –др Љубиша лазаревић,др Бранко Вукчевић и др Весна Вукчевић 2010.год.",,,,,,,,,
,5. Коментар Кривичног законика - проф.др Зоран Стојановић-2010.год.,,,,,,,,,
,6. Коментар З,,,,,,,,,
,"7. аконика о кривичном поступку Црне Горе проф др Момчило Грубач, проф др Бранко Вукчевић-2015.год.",,,,,,,,,
,"8. Коментар Закона о одговорности правних лица –др Љубиша Лазаревић, др Бранко Вучковић, др Весна Вучковић-2007.год.-8 ком.",,,,,,,,,
,"9. Коментар Закона о међународној правној помоћи у кривичним стварима –проф.др Момчило Грубач,доц.др Бранко Вучковић -5 ком.",,,,,,,,,
,10.Коментар Закона о основама својинскоправних односа-мр Станислав Вуковић-1999.год.,,,,,,,,,
,"11.Коментар Устава РЦГ 1992.год.-др Славко Лукић, Миодраг Вуковић-2002.год.",,,,,,,,,
,12.Коментар Закона о извршењу кривичних санкција РС и РЦГ-2000.год.,,,,,,,,,
,"13.Коментар Закона о привредним преступима –мр Пантелија Јеремић,мр Мирослав Врховчек-1986.год.",,,,,,,,,
,"14.Коментар Закона о основнима правима из радног односа-Младен Косовац, Благоје Граховац-1989.год.",,,,,,,,,
,15.Кривични законик РЦГ -2004.год.,,,,,,,,,
,16.Кривични законик РЦГ-2009.год.,,,,,,,,,
,17. Кривични законик РЦГ – 2010.год.,,,,,,,,,
,"18.Кривични законик, Законик о кривичном поступку, Закон о извршењу казне затвора, новчане казне и мјере безбједности-2015.год.",,,,,,,,,
,19.Кривична дјела против достојанства личности и морала –др Бранко Вучковић 2000.год.,,,,,,,,,
,20.Кривична дјела убиства у југословенској судској пракси 1951-2001; др Ђорђе Лопичић-2003.год.,,,,,,,,,
,"21.Казнено-правна регулатива и анализа Црна Гора, Србија Македонија, Албанија и БиХ",,,,,,,,,
,22.Конвенција УН против корупције,,,,,,,,,
,23.Креирање сугурног окружења за ЛГБТИQ особе,,,,,,,,,
,24.Компатибилност црногорског права са одредбама Европске конвенције о људским правима,,,,,,,,,
,25. Казна затвора и њене алтернатаиве-др.Весна Ратковић,,,,,,,,,
,26. Кривичноправна заштита ЛГБТ особа:Улога и поступање тужилаштва-45 ком,,,,,,,,,
,27,,,,,,,,,
,,,,,,,,,,
,Л,,,,,,,,,
,1. Лексика у криминолошком регистру-др.Бранкица Бојовић-2010 - 3 ком.,,,,,,,,,
,,,,,,,,,,
,Љ,,,,,,,,,
,1. Људска права у Европи (правни билтен) – бр. 1/2011 – 12 ком.,,,,,,,,,
,2. Људска права у Европи (правни билтен) – бр. 2/2011 – 6 ком.,,,,,,,,,
,3. Људска права у Европи (правни билтен) – бр. 3/2011 – 16 ком.,,,,,,,,,
,4. Људска права у Европи (правни билтен) – бр. 4/2011 – 4 ком.,,,,,,,,,
,5. Људска права у Европи (правни билтен) – бр. 2/2012 – 19 ком.,,,,,,,,,
,6. Људска права у Европи (правни билтен) – бр. 3/2012 – 8 ком.,,,,,,,,,
,7. Људска права у Европи (правни билтен) – бр. 1/2013 – 32 ком.,,,,,,,,,
,8. Људска права у Европи (правни билтен) – бр. 2/2013 – 70 ком.,,,,,,,,,
,9. Људска права у Европи (правни билтен) – бр. 3/2013 – 10 ком.,,,,,,,,,
,10. Људска права у Европи (правни билтен) – бр. 4/2013 – 9 ком.,,,,,,,,,
,11. Људска права у Европи (правни билтен) – бр. 1/2014 – 12 ком.,,,,,,,,,
,12. Људска права у Европи (правни билтен) – бр. 3/2014 – 6 ком.,,,,,,,,,
,13. Људска права у Европи (правни билтен) – бр. 2/2015 – 7 ком.,,,,,,,,,
,14. Људска права у Европи (правни билтен) – бр. 4/2015 – 7 ком.,,,,,,,,,
,15. Људска права у Европи (правни билтен) – бр. 1/2016 – 15 ком.,,,,,,,,,
,16. Људска права у Европи (правни билтен) – бр. 2/2016 – 2 ком.,,,,,,,,,
,17. Људска права у Европи (правни билтен) – бр. 3/2016 – 2 ком.,,,,,,,,,
,18. Људска права у Европи (правни билтен) – бр. 1/2017 – 9 ком.,,,,,,,,,
,19. Људска права у Европи (правни билтен) – бр. 2/2017 – 10 ком.,,,,,,,,,
,20. Људска права у Европи (правни билтен) – бр. 3/2017 – 1 ком.,,,,,,,,,
,21. Људска права у Европи (правни билтен) – бр.57/2004 – 1 ком.,,,,,,,,,
,22.Људска права у Европи (правни билтен) – бр.58/2004 – 1 ком.,,,,,,,,,
,23.Људска права у Европи (правни билтен) – бр.59/2004 – 2 ком.,,,,,,,,,
,24.Људска права у Европи (правни билтен) – бр.60/2004 – 2 ком.,,,,,,,,,
,25.Људска права у Европи (правни билтен) – бр.61/2005 – 1 ком.,,,,,,,,,
,26. Људска права у Европи (правни билтен) – бр.62/2005 – 1 ком.,,,,,,,,,
,27. Људска права у Европи (правни билтен) – бр.63/2005 – 1 ком.,,,,,,,,,
,28. Људска права у Европи (правни билтен) – бр.65/2005 – 2 ком.,,,,,,,,,
,29. Људска права у Европи (правни билтен) – бр.68/2005 – 1 ком.,,,,,,,,,
,30. Људска права у Европи (правни билтен) – бр.69/2005 – 1 ком.,,,,,,,,,
,31. Људска права у Европи (правни билтен) – бр.70/2005 – 1 ком.,,,,,,,,,
,32. Људска права у Европи (правни билтен) – бр.73/2006 – 1 ком.,,,,,,,,,
,33. Људска права у Европи (правни билтен) – бр.80/2006 – 3 ком.,,,,,,,,,
,34. Људска права у Европи (правни билтен) – бр.83/2006 – 1 ком.,,,,,,,,,
,35. Људска права у Европи (правни билтен) – бр.92/2007 – 1 ком.,,,,,,,,,
